Title,Synopsis,Poster Art,Youtube Trailer,Year,Ranking
Drunken Master,An undisciplined boy must learn Drunken Fist Kung Fu in order to stop an assassin.,http://upload.wikimedia.org/wikipedia/en/4/43/DrunkenMasterMoviePoster.jpg,https://www.youtube.com/watch?v=KQMNllz6aE0,1978,8
Winners & Sinners,"Fresh from prison, five friends try to stay crime free but inadvertently find themselves caught in a Triad war.",http://upload.wikimedia.org/wikipedia/en/7/71/Winners-and-sinners-poster.jpg,https://www.youtube.com/watch?v=rWR8cZhc0N0,1983,7
Police Story,A virtuous Hong Kong police officer must clear his good name when the drug lords he is after frame him for the murder of a dirty cop.,http://upload.wikimedia.org/wikipedia/en/a/a3/Police-Story-poster.jpg,https://www.youtube.com/watch?v=vc8ks75Tido,1985,8
Once Upon a Time in China,Wong Fei-Hung must  his Aunt Yee while defending his martial arts school from the local militia.,http://upload.wikimedia.org/wikipedia/en/b/b4/Onceuponatimeinchina.jpg,https://www.youtube.com/watch?v=p2EqPGXs10g,1991,8
Ninja Scroll,"A mysterious vagabond sets out on a journey to confront his past. Little does he know he is up against a demonic force of killers, with a ghost from his past as the leader.",http://upload.wikimedia.org/wikipedia/en/f/f4/Ninja-Scroll-Poster.jpg,https://www.youtube.com/watch?v=9O6_N4mQBos,1993,9
Ong-Bak: Muay Thai Warrior,"When the head of a statue sacred to a village is stolen, a young martial artist goes and finds himself taking on the underworld to retrieve it.",http://upload.wikimedia.org/wikipedia/en/1/11/ONG-BAK.jpg,https://www.youtube.com/watch?v=nAYUv9wjV48,2003,7
Game of Death,A martial arts movie star must fake his death to find the people who are trying to kill him.,http://upload.wikimedia.org/wikipedia/en/6/6b/Game-of-death-poster.jpg,https://www.youtube.com/watch?v=B3NlErHqPMs,1978,7
New Police Story,"A hero cop accidentally leads his team into a trap from which he is the only survivor. Drowning his guilt in booze, he is eventually assigned a new younger partner who turns out to have his own secrets.",http://upload.wikimedia.org/wikipedia/en/8/8c/NewPoliceStoryposter.jpg,https://www.youtube.com/watch?v=04aaKOuyqB8,2004,9
Fearless,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",http://upload.wikimedia.org/wikipedia/en/4/4a/Fearless_film.jpg,https://www.youtube.com/watch?v=BlyZPgn523I,2006,8
Ip Man,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun.",http://upload.wikimedia.org/wikipedia/en/2/2f/Ipmanposter02.jpg,https://www.youtube.com/watch?v=SZtSwjk4aD8,2008,9
The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,http://upload.wikimedia.org/wikipedia/en/6/6b/The_Raid_Redemption.jpg,https://www.youtube.com/watch?v=PkULMOFpuCo,2012,8
Enter the Dragon,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,http://upload.wikimedia.org/wikipedia/en/e/ef/Enter_the_dragon.jpg,https://www.youtube.com/watch?v=81jCPIag4KA,1973,7
